sample,sex,hap1,hap2
HG02055,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02055/assemblies/HG02055_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02055/assemblies/HG02055_mat_hprc_r2_v1.0.1.fa.gz
HG02056,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02056/assemblies/HG02056_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02056/assemblies/HG02056_mat_hprc_r2_v1.0.1.fa.gz
HG02071,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02071/assemblies/HG02071_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02071/assemblies/HG02071_mat_hprc_r2_v1.0.1.fa.gz
HG02074,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02074/assemblies/HG02074_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02074/assemblies/HG02074_mat_hprc_r2_v1.0.1.fa.gz
HG02080,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02080/assemblies/HG02080_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02080/assemblies/HG02080_mat_hprc_r2_v1.0.1.fa.gz
HG02083,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02083/assemblies/HG02083_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02083/assemblies/HG02083_mat_hprc_r2_v1.0.1.fa.gz
HG02109,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02109/assemblies/HG02109_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02109/assemblies/HG02109_mat_hprc_r2_v1.0.1.fa.gz
HG02129,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02129/assemblies/HG02129_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02129/assemblies/HG02129_mat_hprc_r2_v1.0.1.fa.gz
HG02132,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02132/assemblies/HG02132_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02132/assemblies/HG02132_mat_hprc_r2_v1.0.1.fa.gz
HG02135,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02135/assemblies/HG02135_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02135/assemblies/HG02135_mat_hprc_r2_v1.0.1.fa.gz
HG02145,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02145/assemblies/HG02145_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02145/assemblies/HG02145_mat_hprc_r2_v1.0.1.fa.gz
HG02148,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02148/assemblies/HG02148_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02148/assemblies/HG02148_mat_hprc_r2_v1.0.1.fa.gz
